"Sentence","Response","intents","objects","synonyms","ner"
"What is the difference between self-isolation, self-quarantine and distancing?","Quarantine means restricting activities or separating people who are not ill themselves but may have been exposed to COVID-19. The goal is to prevent spread of the disease at the time when people just develop symptoms..Isolation means separating people who are ill with symptoms of COVID-19 and may be infectious to prevent the spread of the disease.Physical distancing means being physically apart. WHO recommends keeping at least 1-metre distance from others. This is a general measure that everyone should take even if they are well with no known exposure to COVID-19.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['dissimilarity', 'diversity', 'quarantine', 'difference', 'anomalies', 'dissimilitude', 'isolation', 'distancing', 'self', 'unsimilarity']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'dissimilarity', 'diversity', 'quarantine', 'difference', 'anomalies', 'dissimilitude', 'isolation', 'distancing', 'self', 'unsimilarity']","[]"
"Can children or adolescents catch COVID-19?","Research indicates that children and adolescents are just as likely to become infected as any other age group and can spread the disease.Evidence to date suggests that children and young adults are less likely to get severe disease, but severe cases can still happen in these age groups. \nChildren and adults should follow the same guidance on self-quarantine and self-isolation if there is a risk they have been exposed or are showing symptoms. It is particularly important that children avoid contact with older people and others who are at risk of more severe disease.","['grip', 'grasp', 'grab', 'Question', 'capture', 'hold', 'demand', 'query', 'inquiring', 'catch', 'interrogation']","['COVID', 'adolescents', 'children']","['grip', 'grasp', 'grab', 'Question', 'capture', 'hold', 'demand', 'query', 'inquiring', 'catch', 'interrogation', 'COVID', 'adolescents', 'children']","[]"
"What can I do to protect myself and prevent the spread of disease?","Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Most countries around the world have seen cases of COVID-19 and many are experiencing outbreaks. Authorities in China and some other countries have succeeded in slowing their outbreaks. However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and\nwater or using alcohol-based hand rub kills viruses that may be on your hands.Maintain at least 1 metre distance between yourself and others. Why? When someone coughs, sneezes, or speaks they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets,\n    including the COVID-19 virus if the person has the disease.\nAvoid going to crowded places. Why? Where people come together in crowds, you are more likely to come into close contact with someone that has COVID-19 and it is more difficult to maintain physical distance of 1 metre.\nAvoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and infect you.\nMake sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately and wash your hands. Why? Droplets\n    spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19.\nStay home and self-isolate even with minor symptoms such as cough, headache, mild fever, until you recover. Have someone bring you supplies. If you need to leave your house, wear a mask to avoid infecting others. Why? Avoiding contact with others will\n    protect them from possible COVID-19 and other viruses.\nIf you have a fever, cough and difficulty breathing, seek medical attention, but call by telephone in advance if possible and follow the directions of your local health authority. Why? National and local authorities will have the most up to date information\n    on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.\nKeep up to date on the latest information from trusted sources, such as WHO or your local and national health authorities. Why? Local and national authorities are best placed to advise on what people in your area should be doing to protect themselves.","['curb', 'I', 'roadblock', 'Question', 'demand', 'query', 'myself', 'inquiring', 'protect', 'stymie', 'hinder', 'interrogation', 'stunt', 'prevent']","['mal', 'spread', 'sickness', 'disease', 'Nausea', 'malady', 'qualmishness']","['curb', 'I', 'roadblock', 'Question', 'demand', 'query', 'myself', 'inquiring', 'protect', 'stymie', 'hinder', 'interrogation', 'stunt', 'prevent', 'mal', 'spread', 'sickness', 'disease', 'Nausea', 'malady', 'qualmishness']","[]"
"Is there a vaccine, drug or treatment for COVID-19?","While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon research results become available.The most effective ways to protect yourself and others against COVID-19 are to:Clean your hands frequently and thoroughlyAvoid touching your eyes, mouth and noseCover your cough with the bend of elbow or tissue. If a tissue is used, discard it immediately and wash your hands.Maintain a distance of at least 1 metre from others.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['recreational drug', 'medication', 'narcotic', 'treatment', 'cure', 'drug', 'COVID', 'physic', 'therapy', 'care', 'healing', 'medicament', 'vaccine']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'recreational drug', 'medication', 'narcotic', 'treatment', 'cure', 'drug', 'COVID', 'physic', 'therapy', 'care', 'healing', 'medicament', 'vaccine']","[]"
"Does WHO recommend wearing medical masks to prevent the spread of COVID-19?","Currently, there is not enough evidence for or against the use of masks (medical or other) in healthy individuals in the wider community. However, WHO is actively studying the rapidly evolving science on masks and continuously updates its guidance. Medical masks are recommended primarily in health care settings, but can be considered in other circumstances (see below). Medical masks should be combined with other key infection prevention and control measures such as hand hygiene and physical distancing. \nHealthcare workers\nWhy? Medical masks and respirators such as N95, FFP2 or equivalent are recommended for and should be reserved for, healthcare workers while giving care to patients. Close contact with people with suspected or confirmed COVID-19 and their surrounding environment are the main routes of transmission, which means healthcare workers are the most exposed. People who are sick and exhibiting symptoms of COVID-19\nWhy? Anyone who is sick, with mild symptoms such as muscle aches, slight cough, sore throat or fatigue, should isolate at home and use a medical mask according to WHO’s recommendation on home care of patients with suspected COVID-19. Coughing, sneezing or talking can generate droplets that cause can spread the infection. These droplets can reach the face of others nearby and land on the surrounding environment. If an infected person coughs, sneezes, or talks while wearing a medical mask, this can help to protect those nearby from infection.\nIf a sick person needs to go to a health facility they should wear a medical mask. \nAnyone taking care of a person at home who is sick with COVID-19 \nWhy? Those caring for individuals who are sick with COVID-19 should wear a medical mask for protection. Again, close, frequent and prolonged contact with someone with COVID-19 puts caretakers at high risk. \nNational decision makers may also choose to recommend medical mask use for certain individuals using a risk-based approach. This approach takes into consideration the purpose of the mask, risk of exposure and vulnerability of the wearer, the setting, the feasibility of use and the types of masks to be considered.","['curb', 'roadblock', 'wearing', 'WHO', 'Question', 'stunt', 'demand', 'query', 'inquiring', 'stymie', 'recommend', 'interrogation', 'hinder', 'prevent']","['COVID', 'masks', 'spread']","['curb', 'roadblock', 'wearing', 'WHO', 'Question', 'stunt', 'demand', 'query', 'inquiring', 'stymie', 'recommend', 'interrogation', 'hinder', 'prevent', 'COVID', 'masks', 'spread']","[I-ORG(['WHO']), I-LOC(['COVID'])]"
"How to properly wear a medical mask?","If you choose to wear a mask:Before touching the mask, clean hands with an alcohol-based hand rub or soap and waterTake the mask and inspect it for tears or holes.Orient which side is the top side (where the metal strip is).Ensure the proper side of the mask faces outwards (the coloured side).Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.Pull down the mask’s bottom so it covers your mouth and your chin.Do not touch the mask while you are wearing it for protection.After use, take off the mask with clean hands; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask. Discard the mask in a closed bin immediately after use. Do not reuse the mask.Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water.Be aware that there is a global shortage of medical masks (both surgical masks and N95 masks). These should be reserved as much as possible for health care workers. Remember that  masks are not a substitute for other, more effective ways to protect yourself and others against COVID-19 such as frequently washing your hands, covering your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter from others. See basic protective measures against the new coronavirus for more information.Follow the advice of your national health authority on the use of masks.","['get', 'clothe', 'Question', 'demand', 'wear', 'query', 'inquiring', 'don', 'interrogation', 'get dressed']","['mask']","['get', 'clothe', 'Question', 'demand', 'wear', 'query', 'inquiring', 'don', 'interrogation', 'get dressed', 'mask']","[]"
"How long does it take after exposure to COVID-19 to develop symptoms?","The time between exposure to COVID-19 and the moment when symptoms start is commonly around five to six days but can range from 1 – 14 days.","['prehend', 'grasp', 'take', 'Question', 'capture', 'hold', 'demand', 'COVID', 'develop', 'query', 'it', 'inquiring', 'catch', 'interrogation']","['exposure', 'symptoms']","['prehend', 'grasp', 'take', 'Question', 'capture', 'hold', 'demand', 'COVID', 'develop', 'query', 'it', 'inquiring', 'catch', 'interrogation', 'exposure', 'symptoms']","[]"
"What is the connection between COVID-19 and animals?","COVID-19 is spread through human-to-human transmission. \nWe already know a lot about other viruses in the coronavirus family and most of these types of viruses have an origin in animals. The COVID-19 virus (also called SARS-CoV-2) is a new virus in humans. The possible animal source of COVID-19 has not yet been confirmed but research is ongoing.\nWHO continues to monitor the latest research on this and other COVID-19 topics and will update, as new findings are available.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['kinship', 'relation', 'connection', 'COVID', 'family', 'animals', 'link', 'relationship']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'kinship', 'relation', 'connection', 'COVID', 'family', 'animals', 'link', 'relationship']","[I-LOC(['COVID'])]"
"Can I catch COVID-19 from my pet or other animals?","Several dogs and cats (domestic cats and tigers) in contact with infected humans have tested positive for COVID-19. In addition, ferrets appear to be susceptible to the infection. In experimental conditions, both cats and ferrets were\n                able to transmit infection to other animals of the same species. However, there is no evidence that these animals can transmit the disease to humans and spread COVID-19. COVID-19 is mainly spread through droplets produced when an infected\n                person coughs, sneezes, or speaks.Minks raised in farms have also been detected with the virus. Most likely, they have been infected by farm workers. In a few instances, the minks that were infected by humans have transmitted the virus to other people. These are the first\n                reported cases of animal-to-human transmission.It is still recommended that people who are sick with COVID-19 and people who are at risk limit contact with companion and other animals. When handling and caring for animals, basic hygiene measures should always be implemented. This includes\n                hand washing after handling animals, their food or supplies, as well as avoiding kissing, licking or sharing food.More recommendations are available on the OIE website: https://www.oie.int/en/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available.","['I', 'grip', 'grasp', 'Question', 'grab', 'capture', 'hold', 'demand', 'query', 'inquiring', 'my', 'catch', 'interrogation']","['animals', 'COVID', 'pet']","['I', 'grip', 'grasp', 'Question', 'grab', 'capture', 'hold', 'demand', 'query', 'inquiring', 'my', 'catch', 'interrogation', 'animals', 'COVID', 'pet']","[]"
"How long does the virus survive on surfaces?","The most important thing to know about coronavirus on surfaces is that they can easily be cleaned with common household disinfectants that will kill the virus. Studies have shown that the COVID-19 virus can survive for up to 72 hours on plastic and stainless steel, less than 4 hours on copper and less than 24 hours on cardboard.\nAs, always clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['surfaces', 'survive', 'virus']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'surfaces', 'survive', 'virus']","[]"
"How to grocery shop safely?","When grocery shopping, keep at least 1-metre distance from others and avoid touching your eyes, mouth and nose. If possible, sanitize the handles of shopping trolleys or baskets before shopping. Once home, wash your hands thoroughly and also after handling and storing your purchased products.\nThere is currently no confirmed case of COVID-19 transmitted through food or food packaging.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['market', 'shopping center', 'shop', 'grocery', 'mall', 'store', 'shopping centre']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'market', 'shopping center', 'shop', 'grocery', 'mall', 'store', 'shopping centre']","[]"
"How to wash fruits and vegetables?","Fruits and vegetables are important components of a healthy diet. Wash them the same way you should do under any circumstance: before handling them, wash your hands with soap and water. Then, wash fruits and vegetables thoroughly with clean water, especially if you eat them raw.","['wash down', 'clean out', 'Question', 'demand', 'rub up', 'launder', 'wash over', 'query', 'inquiring', 'wash', 'interrogation']","['vegetables', 'fruits']","['wash down', 'clean out', 'Question', 'demand', 'rub up', 'launder', 'wash over', 'query', 'inquiring', 'wash', 'interrogation', 'vegetables', 'fruits']","[]"
"Are antibiotics effective in preventing or treating COVID-19?","No. Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. In hospitals physicians will sometimes use antibiotics to prevent or treat secondary bacterial infections which can be a complication of COVID-19 in severely ill patients. They should only be used as directed by a physician to treat a bacterial infection.","['treating', 'Question', 'demand', 'query', 'inquiring', 'preventing', 'interrogation']","['COVID', 'antibiotics']","['treating', 'Question', 'demand', 'query', 'inquiring', 'preventing', 'interrogation', 'COVID', 'antibiotics']","[]"
"Can I catch COVID-19 from the faeces of someone with the disease?","While initial investigations suggest the virus may be present in faeces in some cases, to date, there have not been reports of faecal-oral transmission of COVID-19. Additionally, there is no evidence to date on the survival of the COVID-19 virus in water or sewage.\nWHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings on this topic.","['I', 'grip', 'grasp', 'Question', 'grab', 'capture', 'hold', 'demand', 'someone', 'human', 'individual', 'query', 'inquiring', 'either', 'catch', 'interrogation', 'soul', 'somebody']","['faeces', 'stool', 'dookie', 'mal', 'doo', 'sickness', 'faecal matter', 'disease', 'COVID', 'Nausea', 'malady', 'qualmishness', 'dung']","['I', 'grip', 'grasp', 'Question', 'grab', 'capture', 'hold', 'demand', 'someone', 'human', 'individual', 'query', 'inquiring', 'either', 'catch', 'interrogation', 'soul', 'somebody', 'faeces', 'stool', 'dookie', 'mal', 'doo', 'sickness', 'faecal matter', 'disease', 'COVID', 'Nausea', 'malady', 'qualmishness', 'dung']","[]"
