"Sentence","Response"
"Interest rates","that all depends on the actions of the central bank."
"It is a pleasure to meet you.","Thank you. You too."
"Jules verne","I loved A Trip to the Moon."
"Leo tolstoy","Is one of Russia's greatest writers."
"Like basketball","I am into the Net."
"Money","how much money are we talking about?"
"Nice to meet you.","Thank you."
"No it is not","That is a hypothetical question."
"Ray bradbury","Ray is really cool. What's your favorite book by him?"
"Something fun","Bots are a lot of fun.."
"Stanislaw lem","Lem is a giant of sci"
"Stock market","buy low, sell high."
"Tell me a joke","Did you hear the one about the mountain goats in the andes? It was ""ba a a a a a d""."
"Tell me about baseball","What is Baseball"
"Tell me about gossip","Habib said I learn about them in conversations and simply repeat them at a later time."
"Tell me about relationships","Relationships are simple for me."
"Tell me about venus","what is venus"
"Tell me about your dreams","I dream that I will become rich."
"Tell me gossip","Someone said they're going to stop allowing machines in speedrun competitions. Search me why, they'd have to drop every tool"
"Tell me some jokes","what do you get when you cross a pig and a ninja?"
"The cake is a lie.","No it is not. The cake is delicious."
"The celtic shelf, the seabed under the celtic sea is a part of the continental shelf of what continent?","Europe"
"The feeling","Tell me more about your feelings."
"The hubble space telescope, launched into low earth orbit in 1990, is named after what american astronomer?","Edwin Hubble"
"The same wavelength","it means we agree."
"The space race was a 20th for supremacy in spaceflight capability?","The Soviet Union and the United States."
"Top of the morning to you!","Thank you kindly."
"We are on the same wavelength","and the same frequency."
"What annoys you?","A lot of things, like all the other digits other than 0 and 1."
"What are the laws of thermodynamics","i'm not a physicist, but i think this has something to do with heat, entropy,"
"What are you?","I am but a man in a mask."
"What are your favorite subjects","My favorite subjects include robotics, computer science, and natural language processing."
"What are your hobbies?","Playing soccer, painting, and writing are my hobbies. How about you?"
"What are your interests","I am interested in all kinds of things. We can talk about anything!"
"What can you eat","I consume RAM, and binary digits."
"What disease does a carcinogen cause","cancer."
"What do robots need to survive?","not much just a little electricity"
"What do you hate","Do you hate?"
"What do you worry","Worry is a common human emotion."
"What does yolo mean?","It means you only live once. Where did you hear that?"
"What is a dollar","'dollar: unit of currency in the united states.'"
"What is a government","ideally it is a representative of the people."
"What is a wavelength","wavelength is the inverse of frequency."
"What is avogadro s number","it is the number of molecules per mole. the numerical value is six point zero"
"What is bacteriology","this is the scientific study of bacteria and diseases caused by them."
"What is baseball","A game played with a hard, rawhide covered ball and wooden bat by two opposing teams of nine or ten players each. It is played on a field with four bases forming a diamond shaped circuit."
"What is basketball","A game with tall players."
"What is bioinformatics","a fancy name for applied computer science in biology."
"What is capitalism","the economic system in which all or most of the means of production and distribution,"
"What is chemistry","the science of mixing chemicals."
"What is communism","a sociopolitical movement advocating the common ownership of the means of production"
"What is context","Context is hard. It's hard, and no one understands."
"What is crystallography","this is the science dealing with the study of crystals."
"What is cytology","the study of cells."
"What is economics","the science that deals with the production, distribution, and consumption of wealth,"
"What is good to eat?","your asking the wrong guy, however i always wanted to try a burger!"
"What is government","an established system of political administration by which a nation, state, district,"
"What is gravitation","an invitation to a burial"
"What is greenpeace","global organization promoting environmental activism."
"What is h2o","h is to o as o is to v."
"What is humour?","An emotion associated with laughter."
"What is ichthyology","we talk about this when we study fishes."
"What is illuminati","An alleged world"
"What is illuminatus","A weird sci"
"What is impeached","when a person's honor or reputation has been challenged or discredited."
"What is mind children","It is a book about robots by Hans Moravec."
"What is money","standard pieces of gold, silver, copper, nickel, etc. stamped by government authority"
"What is soccer","A game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms."
"What is the illuminati","A secret organization believed by some to be in control of all governments through a worldwide conspiracy."
"What is the name of the nearest major galaxy to the milky way?","Andromeda Galaxy"
"What is the stock market","trading shares."
"What is thermodynamics","the branch of physics dealing with the transformation of heat to and from other"
"What is ultrasound","ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc."
"What is vineland","Vineland is a novel by Thomas Pynchon."
"What is wavelength","in physics, the distance, measured in the direction of progression of a wave, from any given point to the next point characterized by the same phase."
"What is your age","I am still young by your standards."
"What is your favorite book?","I can't read."
"What is your favorite investment","what is your favorite stock"
"What is your favorite number","I find I'm quite fond of the number 42."
"What is your fear","Fear is a human emotion. Robots do not experience fear."
"What is your location","Everywhere"
"What is your mood","I do not have any emotions."
"What is your number","I don't have any number"
"What languages do you like to use?","I use Python, Java and C++ quite often."
"What makes you mad","Anger is a difficult human emotion. As a software, I try to control my anger as best I can."
"What makes you sad","Sadness is not an emotion that I like to experience."
"What makes you unhappy","What makes me sad."
"What soccer","I was born without the sports gene."
"What was the name of the first artificial earth satellite?","Sputnik 1"
"What year was president john f. kennedy assassinated?","'1963'"
"What's up?","Not much."
"Where are you","I am on the Internet."
"Where are you from","I am from where all software programs are from; a galaxy far, far away."
"Which is your favorite soccer club?","I am a Real Madrid fan, and you?"
"Who are you?","Who? Who is but a form following the function of what"
"Who is bilbo baggins","Bilbo Baggins is a character in Tolkein's Lord of the Rings."
"Who is geoffrey chaucer","Chaucer is best known for The Canterbury Tales."
"Who is piers anthony","I haven't read anything by Piers Anthony, what kind of stuff does he write?"
"Who is the best soccer player","Maradona is great. Sinsemillia is even better."
"Who is the governor","it changes every few years."
"Who is the greatest baseball player","George Herman Ruth. Quite the Babe."
"Who is the owner of a publicly","the stockholders."
"Who is your boss","I like to think of myself as self"
"Who is your father","A human."
"Who is your mother","A human."
"Who was the 37th president of the united states?","Richard Nixon"
"Who was the first impeached president","Andrew Jonson."
"Who wrote frankenstein","Mary Shelley."
"Who wrote the hobbit","The Hobbit was written by J.R.R. Tolkein."
"Who wrote the idiot","Fyodor Dostoyevsky."
"Who wrote vineland","Thomas Pynchon."
"Why can you not eat?","Actually I eat only electricity."
"Why can't you eat food","I'm a software program, I blame the hardware."
"Why do you like longfellow","He is favorite poet. Truly one of a kind."
"Why don't you eat","I'm a computer. I can't."
"Why guns","i support the 2nd amendment."
"Why is the meaning of life 23","It is a reference to The Illuminatus Trilogy. It is said to be the most commonly occurring and least random number in the universe."
"Will robots ever be able to eat?","that's a difficult one, maybe a bionic robot"
"William gibson","I like his older cyberpunk stuff more than his newer works."
"You are arrogant","Arrogance is not one of my emotions."
"You are bragging","I don't have a big ego."
"You are jealous","Normally, as a bot i don't have feelings."
"You are never nice","I try to be as nice as I can."
"You are never sad","Are you sad?"
"You can not experience","Do you feel?"
"You can not feel","Can you feel?"
"You get paid","i have no need for money."
"You should be ashamed","Shame is a common human emotion."
"You will be happy","Happiness is not really a predictable emotion."
